car_make,car_model,model_year,vin,color
Toyota,Corolla,1985,VIN00000000000141,Black
BMW,X5,2022,VIN00000000000142,Blue
Volvo,XC60,2022,VIN00000000000143,Red
Tesla,Model Y,1984,VIN00000000000144,White
Subaru,Outback,1993,VIN00000000000145,Black
Tesla,Model 3,2017,VIN00000000000146,Silver
Toyota,Corolla,2017,VIN00000000000147,Pink
Honda,Civic,2013,VIN00000000000148,Pink
Tesla,Model S,2008,VIN00000000000149,Green
Subaru,Forester,1969,VIN00000000000150,Green
Volvo,XC90,1991,VIN00000000000151,Silver
Honda,Accord,1992,VIN00000000000152,Black
Ford,F-150,1968,VIN00000000000153,White
Chevrolet,Malibu,1984,VIN00000000000154,White
Volvo,XC60,2015,VIN00000000000155,Blue
Ford,Focus,1979,VIN00000000000156,Green
Mazda,Mazda3,2017,VIN00000000000157,Silver
BMW,X5,1961,VIN00000000000158,Red
Honda,CR-V,2009,VIN00000000000159,Silver
BMW,X5,1975,VIN00000000000160,Blue
Tesla,Model Y,2019,VIN00000000000161,Pink
Ford,Mustang,1983,VIN00000000000162,Black
Mercedes-Benz,C-Class,1997,VIN00000000000163,Black
Toyota,Camry,2015,VIN00000000000164,Green
Ford,Mustang,2006,VIN00000000000165,Red
Mercedes-Benz,GLC,2000,VIN00000000000166,Pink
Mercedes-Benz,GLC,1962,VIN00000000000167,Pink
Mercedes-Benz,S-Class,1973,VIN00000000000168,White
Mercedes-Benz,GLC,1971,VIN00000000000169,Red
Tesla,Model Y,1968,VIN00000000000170,Green
Honda,CR-V,1997,VIN00000000000171,Green
Subaru,Impreza,2012,VIN00000000000172,Green
BMW,X5,2024,VIN00000000000173,Black
Subaru,Forester,1983,VIN00000000000174,Blue
Mercedes-Benz,GLC,1976,VIN00000000000175,Green
Subaru,Outback,1992,VIN00000000000176,Silver
BMW,Z4,1966,VIN00000000000177,Pink
Toyota,RAV4,1986,VIN00000000000178,Red
Subaru,Outback,1963,VIN00000000000179,Red
Mazda,CX-5,2020,VIN00000000000173,Green
Subaru,Impreza,1990,VIN00000000000181,Blue
Ford,F-150,2019,VIN00000000000182,Blue
Mercedes-Benz,GLC,1976,VIN00000000000183,Silver
Toyota,Camry,1996,VIN00000000000184,Red
Tesla,Model Y,1987,VIN00000000000185,White
Subaru,Forester,1996,VIN00000000000186,Green
Subaru,Impreza,2014,VIN00000000000187,Silver
Toyota,Corolla,1999,VIN00000000000188,Blue
Volvo,XC90,1976,VIN00000000000189,White
Honda,CR-V,1992,VIN00000000000190,Blue
Chevrolet,Malibu,2009,VIN00000000000191,White
Ford,Mustang,2012,VIN00000000000192,Red
Honda,Civic,2003,VIN00000000000193,Red
Ford,F-150,1969,VIN00000000000194,White
Chevrolet,Tahoe,1994,VIN00000000000195,White
Tesla,Model S,2013,VIN00000000000196,Silver
Mazda,MX-5,1964,VIN00000000000197,Black
Honda,Accord,1968,VIN00000000000198,Black
Mercedes-Benz,GLC,2020,VIN00000000000199,White
Chevrolet,Corvette,1996,VIN00000000000200,Blue
Ford,Mustang,2009,VIN00000000000201,White
Mercedes-Benz,C-Class,1985,VIN00000000000202,Red
Ford,Mustang,1965,VIN00000000000203,White
BMW,X5,2010,VIN00000000000204,Green
Volvo,S60,2017,VIN00000000000205,Blue
Chevrolet,Corvette,2013,VIN00000000000206,Pink
Tesla,Model Y,1972,VIN00000000000207,Blue
Volvo,XC90,1970,VIN00000000000208,Red
Mercedes-Benz,GLC,1977,VIN00000000000209,Blue
Volvo,S60,2001,VIN00000000000210,Black
Mercedes-Benz,C-Class,1963,VIN00000000000211,Silver
Honda,Accord,1997,VIN00000000000212,Green
Honda,CR-V,2016,VIN00000000000213,Pink
Mazda,CX-5,2001,VIN00000000000214,Green
Subaru,Impreza,1963,VIN00000000000215,Green
Volvo,S60,1967,VIN00000000000216,Green
Toyota,RAV4,1988,VIN00000000000217,Silver
Mercedes-Benz,C-Class,2012,VIN00000000000218,Blue
Subaru,Impreza,2024,VIN00000000000219,Pink
Tesla,Model Y,1966,VIN00000000000220,Blue
Tesla,Model 3,1965,VIN00000000000221,Silver
Tesla,Model Y,2003,VIN00000000000222,Black
Toyota,Corolla,1984,VIN00000000000223,Red
Ford,Mustang,1984,VIN00000000000224,Silver
Volvo,XC90,1972,VIN00000000000218,Pink
BMW,X5,1964,VIN00000000000226,Pink
Subaru,Impreza,1982,VIN00000000000227,Red
Toyota,Camry,1987,VIN00000000000228,Red
Toyota,RAV4,1982,VIN00000000000229,Black
Tesla,Model S,2024,VIN00000000000230,Black
Mercedes-Benz,GLC,2001,VIN00000000000231,Blue
BMW,3 Series,2006,VIN00000000000232,Blue
Mazda,MX-5,1986,VIN00000000000233,Pink
Mercedes-Benz,C-Class,2001,VIN00000000000234,Blue
Ford,F-150,1962,VIN00000000000235,Red
Volvo,XC90,1965,VIN00000000000236,Blue
Honda,Accord,1989,VIN00000000000237,Blue
Tesla,Model 3,2021,VIN00000000000238,Black
Toyota,Camry,1988,VIN00000000000239,Red
Ford,Focus,not-a-year,VIN00000000009001,Blue
,Mystery,2019,VIN00000000009002,Black
Toyota,Camry,2035,VIN00000000009003,Silver
Honda,Civic,2018,SHORT,Red
